File Name: C:\Users\common\Documents\CLART\Specificity CPH\CLART spec CPH 170615 cl.rbx																																													
Acquisition Date: 15-Jun-2017, 09:09 AM																																													
Reader Serial Number: LX10010029402																																													
RP1 PMT (Volts): 544.08																																													
RP1 Target: 3684																																													
Plate ID: 																																													
																																													
Well	Type	Description	HPV 6 (20)	HPV 11 (11)	HPV 16 (16)	HPV 18 (38)	HPV 18.6650G (34)	HPV 26 (26)	HPV 30 (30)	HPV 31 (22)	HPV 33.2 (33)	HPV 35 (35)	HPV 35.6624A (41)	HPV 39 (39)	HPV 40 (40)	HPV 42 (42)	HPV 43 (43)	HPV 45 (45)	HPV 51 (51)	HPV 52 (52)	HPV 53 (53)	HPV 54 (54)	HPV 56 (56)	HPV 58.1 (47)	HPV 59 (24)	HPV 61 (25)	HPV 66 (66)	HPV 67 (27)	HPV 68 ME.1 (44)	HPV 68 O (28)	HPV 69 (19)	HPV 70 (21)	HPV 73 (58)	HPV 74 (23)	HPV 81 (29)	HPV 82 (32)	HPV 83 (36)	HPV 86 (37)	HPV 87 (48)	HPV 89 (49)	HPV 90 (55)	HPV 91 (57)	U1 (46)	U2 (50)	Sampling Errors
A1	X1	MGP1	104	1	212	48	8	0	4	1	1	1	1	2	13	1	1	1	82	1	1	1	1	1	1	0	2	1	2	1	0	1	4	7	1	25	1	1	1	1	3	2	34	21	
B1	X2	MGP2	4	82	0	1	1	0	10	21	10	1	1	3	70	1	1	1	1	1	1	1	1	6	4	1	2	2	4	1	0	1	4	34	1	39	1	1	0	1	5	1	41	44	
C1	X3	MGP3	2	1	0	1	1	1	4	0	0	0	1	34	15	1	1	64	1	330	2	1	78	1	2	1	2	3	6	1	0	1	4	10	1	21	1	1	1	1	3	3	37	39	
D1	X4	MGP4	2	1	1	1	0	1	4	0	2	53	5	3	14	1	1	1	1	3	1	1	1	1	22	0	275	1	34	19	1	1	4	16	1	18	1	1	1	1	4	1	76	43	
E1	X5	MGP5	119	1	167	46	7	1	3	1	1	1	1	3	17	1	1	1	60	1	1	1	1	1	1	1	2	2	2	1	0	1	5	10	1	27	1	1	1	1	3	2	25	16	
F1	X6	MGP6	1	67	1	1	1	0	2	15	8	1	1	2	2	1	1	1	1	1	1	1	1	7	3	0	2	2	3	1	0	1	4	3	1	5	1	1	1	1	2	1	39	38	
G1	X7	MGP7	1	0	1	1	1	0	5	1	1	1	1	41	28	1	1	72	1	197	1	1	115	1	1	0	3	3	5	1	1	1	4	15	1	25	1	2	1	1	3	2	17	19	
H1	X8	MGP8	2	1	0	1	1	1	5	1	2	48	4	2	22	1	1	1	1	2	1	1	1	1	24	1	239	1	29	10	1	1	4	10	1	20	1	1	1	1	3	1	57	28	
A2	X9	16hvh905746	1	0	0	1	0	1	2	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	4	1	1	1	1	1	1	1	1	1	10	17	
B2	X10	16hvh905747	1	0	1	1	1	0	1	1	1	0	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	4	1	1	1	1	1	1	1	1	1	16	42	
C2	X11	16hvh905748	1	0	0	1	0	1	2	0	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	0	1	5	1	1	1	1	1	1	1	2	1	11	23	
D2	X12	16hvh905749	1	0	0	1	0	0	2	0	1	1	1	11	2	1	1	1	1	1	1	1	1	1	1	1	2	1	4	1	1	1	4	1	1	1	1	1	1	1	1	2	17	27	
E2	X13	16hvh905750	1	0	1	1	1	0	1	0	0	1	1	3	1	1	1	1	1	1	1	1	1	1	1	0	2	1	2	1	1	1	4	1	1	1	1	1	1	1	2	1	12	30	
F2	X14	16hvh905751	1	1	0	1	1	0	2	0	1	0	1	3	4	1	1	1	2	1	1	1	1	1	2	1	2	1	7	2	0	1	4	1	1	2	1	1	1	1	2	1	61	158	
G2	X15	16hvh905752	1	0	0	0	1	1	1	0	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	3	1	2	1	0	1	4	1	1	1	1	1	1	1	2	1	11	22	
H2	X16	16hvh905753	1	0	0	1	1	1	2	0	0	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	4	2	0	2	1	1	1	1	2	2	10	16	
A3	X17	16hvh905754	1	1	1	1	1	1	2	0	1	0	1	2	2	1	1	1	1	1	1	1	1	1	1	0	2	1	3	1	0	1	4	1	1	2	1	1	1	1	2	2	31	78	
B3	X18	16hvh905755	1	0	0	1	0	0	2	0	0	0	1	2	2	1	0	1	1	1	1	1	1	1	1	0	2	1	4	1	0	1	4	1	1	1	1	1	1	1	2	1	32	64	
C3	X19	16hvh905756	1	1	1	23	3	1	1	1	0	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	0	1	4	1	1	2	1	1	1	1	2	1	14	26	
D3	X20	16hvh905757	1	0	0	1	1	0	2	0	0	0	1	3	2	1	1	1	1	1	1	1	1	1	0	0	2	1	3	1	0	1	4	1	1	1	1	1	1	1	2	1	17	36	
E3	X21	16hvh905758	0	0	1	1	1	1	1	0	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	0	1	4	0	1	1	1	1	1	1	2	1	15	39	
